Specimen No;genus;species;coloniality;growth form ;corallite integration;mean corallite diameter [mm];colony height [mm];colony width [mm];number of incisions;length of incisions [mm] top;length of incisions [mm] bottom;width of incisons [mm] top ;width of incisions [mm] bottom;distance to next incision [mm];incisions on top ;incisions on bottom;bioerosion;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;2;3.2;3.99;0.66;0.66;5.24;1;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;2;4.95;8.59;0.75;1.43;3.49;1;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;2;2.12;8.33;1.21;1.46;3.3;1;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;2;1.36;9.06;1.72;1.14;8.24;1;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;20.78;0;1.75;8.77;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;9.01;0;1.86;12.49;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;7.96;0;2.29;7.8;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;6.62;0;1.97;4.14;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;13.74;0;1.7;13.67;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;21.36;0;1.98;8.32;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;9.4;0;2.27;11.81;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;22.75;0;1.59;12.92;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;20.41;0;1.95;7.62;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;6.28;0;1.24;5.39;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;7.94;0;1.43;7.04;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;11.48;0;2.53;3.36;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;14.55;0;1.7;6.3;0;1;;
KCo5-1;Dimorpharaea;stellans;;umbrella-shaped;thamnasteroid;4.2;25.12;64.48;1;0;4.23;0;1.92;7.95;0;1;;
